Category,original fluid,new fluid,original lable,new Label,Short,Unit,Normal Range
Chemistry,Pleural,Pleural Sample analysis - Whole,"Triglycerides, Pleural",Triglycerides,Triglycerides,milligrams per deciliter (mg/dL),less than 110 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,NTproBNP,N-terminal pro-brain natriuretic peptide (NTproBNP),NTproBNP,picograms per milliliter (pg/mL),less than 125 pg/mL for individuals under 75 years old.
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Cholesterol, LDL, Calculated","Cholesterol, Low-Density Lipoprotein (LDL), Calculate","Cholesterol, LDL, Calculate",milligrams per deciliter (mg/dL),less than 130 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Rheumatoid Factor,Rheumatoid Factor,Rheumatoid Factor,international units per milliliter (IU/mL),less than 14 IU/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Hepatitis C Viral Load,Hepatitis C Viral Load,Hepatitis C Viral Load,log10 international units per milliliter ( log10 IU/mL),less than 15 log10 IU/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Homocysteine,Homocysteine,Homocysteine,micromoles per liter (μmol/L),Less than 15 μmol/L
Chemistry,Urine,urine sample (random) Urinalysis,Glucose,Glucose,Glucose,milligrams per deciliter (mg/dL),less than 15-20 mg/dL
Hematology,Urine,urine sample (random) Urinalysis,Glucose,Glucose,Glucose,milligrams per deciliter (mg/dL),less than 15-20 mg/dL
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Elliptocytes,Elliptocytes,Elliptocytes,percentage,less than 15%
Chemistry,Urine,urine sample (random) Microscopic Examination,Protein,Protein,Protein,milligrams for a 24-hour urine collection (mg/day),Less than 150 mg/day
Hematology,Urine,urine sample (random) Microscopic Examination,Protein,Protein,Protein,milligrams for a 24-hour urine collection (mg/day),Less than 150 mg/day
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Triglycerides,Triglycerides,Triglycerides,milligrams per deciliter (mg/dL),less than 150 mg/dL
Chemistry,Pleural,Pleural Sample analysis - Whole,"Amylase, Pleural",Amylase,Amylase,International Units per liter (IU/L),less than 160 U/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Beta-2 Microglobulin,Beta-2 microglobulin (B2M),B2M,milligrams per liter (mg/L),less than 2 mg/L
Chemistry,Ascites,Ascite Sample analysis - Whole,"Total Protein, Ascites","Protein, Total","Protein, Total",grams per deciliter (g/dL),less than 2.5 g/dL
Hematology,Blood,Peripheral Blood Sample analysis - Hemoglobin,Hemoglobin F,Hemoglobin F,Hemoglobin F,percentage,less than 2% of the total hemoglobin
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Hepatitis B Viral Load,Hepatitis B Viral Load,Hepatitis B Viral Load,log10 international units per milliliter ( log10 IU/mL),less than 20 log10  IU/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,HIV 1 Viral Load,HIV 1 Viral Load,HIV 1 Viral Load,copies per milliliter (copies/mL),less than 20 to 50 cop/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,N-Acetylprocainamide (NAPA),N-Acetylprocainamide (NAPA),NAPA,micrograms per milliliter (μg/mL),less than 20 μg/mL
Chemistry,Pleural,Pleural Sample analysis - Whole,"Lactate Dehydrogenase, Pleural",Lactate Dehydrogenase,LD,International Units per liter (IU/L),less than 200 IU/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Cholesterol, Total","Cholesterol, Total","Cholesterol, Total",milligrams per deciliter (mg/dL),less than 200 mg/dL
Chemistry,Ascites,Ascite Sample analysis - Whole,"Triglycerides, Ascites",Triglycerides,Triglycerides,milligrams per deciliter (mg/dL),less than 200 mg/dL
Hematology,Joint Fluid,Joint Fluid sample analysis - Whole,"Total Nucleated Cells, Joint",Nucleated Cells,Nucleated Cells,cells per microliter (cells/μL),less than 200 to 300 cells/μL
Hematology,Joint Fluid,Joint Fluid sample analysis - Whole,"RBC, Joint Fluid",Red Blood Cells (RBCs),RBCs,cells per microliter (cells/μL),less than 2000 cells/μL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Macro Prolactin,Macro Prolactin,Macro Prolactin,nanograms per milliliter (ng/mL),less than 25 ng/mL
Hematology,Ascites,Ascite Sample analysis - White Blood Cells,Polys,Polys,Polys,percentage,less than 25%  of the total white blood cell
Hematology,Ascites,Ascite Sample analysis - White Blood Cells,Lymphocytes,Lymphocytes,Lymphocytes,percentage,less than 25% of the total white blood cell
Hematology,Pleural,Pleural Sample analysis - Red Blood Cells,Young Cells,Young Cells,Young Cells,percentage,less than 3% of the total red blood cell count
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Double Stranded DNA,Double Stranded DNA,Double Stranded DNA,international units per milliliter (IU/mL),less than 30 IU/mL
Chemistry,Urine,urine sample (24-hour) analysis,"Albumin, Urine",Albumin,Albumin,milligrams for a 24-hour urine collection (mg/day),Less than 30 mg/day
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Salicylate,Salicylate,Salicylate,milligrams per liter (mg/dL),less than 30 mg/dL
Chemistry,Urine,urine sample (24-hour) analysis,"Albumin/Creatinine, Urine",Albumin/Creatinine,Albumin/Creatinine,milligrams per gram (mg/g),Less than 30 mg/g
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Thyroglobulin,Thyroglobulin,Thyroglobulin,nanograms per milliliter (ng/mL),less than 30 ng/mL
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,Monocytes,Monocytes,Monocytes,percentage,less than 30% of the total WBC count
Chemistry,Cerebrospinal Fluid,Cerebrospinal Sample analysis - Whole,<Albumin>,Albumin,Albumin,milligrams per deciliter (mg/dL),less than 35 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,CA-125,Cancer antigen 125 (CA 125),CA 125,units per milliliter (U/mL),less than 35 U/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,CA 19-9,Cancer antigen 19-9 (CA 19-9),CA 19-9,units per milliliter (U/mL),less than 37 U/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Cancer Antigen 27.29,Cancer Antigen 27.29 (CA 27.29),CA 27.29),units per milliliter (U/mL),less than 38
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Prostate Specific Antigen,Prostate Specific Antigen,Prostate Specific Antigen,nanograms per milliliter (ng/mL),less than 4 ng/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Anti-Thyroglobulin Antibodies,Anti-Thyroglobulin Antibodies (TgAb),TgAb,international units per milliliter (IU/mL),less than 4 to 20 IU/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Tissue Transglutaminase Ab, IgA","Tissue Transglutaminase (TTG) Antibody (Ab), Immunoglobulin A (IgA)","TTG-Ab, IgA",units per milliliter (U/mL),less than 4 U/mL
Chemistry,Pleural,Pleural Sample analysis - Whole,"Lipase, Pleural",Lipase,Lipase,International Units per liter (IU/L),less than 40 IU/L
Chemistry,Urine,urine sample (24-hour) analysis,"Amylase/Creatinine Ratio, Urine",Amylase/Creatinine,Amylase/Creatinine,Ratio,less than 5
Hematology,Urine,urine sample (random) Microscopic Examination,Calcium Phosphate Crystals,Calcium Phosphate Crystals,Calcium Phosphate Crystals,low power field (LPF) or high power field (HPF),less than 5 crystals per HPF
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Carcinoembyronic Antigen (CEA),Carcinoembyronic Antigen (CEA),CEA,nanograms per milliliter (ng/mL),less than 5 ng/mL
Hematology,Urine,urine sample (random) Microscopic Examination,Calcium Oxalate Crystals,Calcium Oxalate Crystals,Calcium Oxalate Crystals,low power field (LPF) or high power field (HPF),less than 5 per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,NonSquamous Epithelial Cell,Non-squamous Epithelial Cells,NonSquamous Epithelial Cell,low power field (LPF) or high power field (HPF),less than 5-10 cells per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,Non-squamous Epithelial Cells,Non-squamous Epithelial Cells,Non-squamous Epithelial Cells,low power field (LPF) or high power field (HPF),less than 5-10 cells per HPG
Chemistry,Blood,Peripheral Blood Sample analysis - Hemoglobin,% Hemoglobin A1c,"hemoglobin, glycated",HbA1c,percentage,Less than 5.7%
Chemistry,Blood,Peripheral Blood Sample analysis - Hemoglobin,Absolute A1c,"hemoglobin, glycated",HbA1c,percentage,Less than 5.7%
Chemistry,Blood,Peripheral Blood Sample analysis - Creatine Kinase,CK-MB Index,Creatine Kinase-myocardial band (CK-MB),CK-MB,percentage,less than 5%
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,Atypical Lymphocytes,Atypical Lymphocytes,Atypical Lymphocytes,percentage,less than 5% of the total white blood cell (WBC)
Chemistry,Other Body Fluid,Other Body Fluid Analysis,FetalFN,Fetal Fibronectin,FetalFN,nanograms per milliliter (ng/mL),less than 50 nanograms per milliliter
Hematology,Ascites,Ascite Sample analysis - Whole,Atypical Lymphocytes,Atypical Lymphocytes,Atypical Lymphocytes,cells per microliter (cells/μL),less than 500 thousands cells/µL in whole ascite sample
Hematology,Pleural,Pleural Sample analysis - Whole,"Total Nucleated Cells, Pleural",Nucleated Cells,Nucleated Cells,cells per microliter (cells/μL),less than 5000 thousands cells/μL of the whole Pleural sample
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Bands,Bands,Bands,percentage,less than 6% of the total WBC count
Hematology,Cerebrospinal Fluid,Peripheral Blood Sample analysis - White Blood Cells,Bands,Bands,Bands,percentage,less than 6% of the total WBC count
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,Lymphs,Lymphs,Lymphs,percentage,less than 70% of the total WBC count
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Microcytes,Microcytes,Microcytes,femtoliters (fL),less than 80 fL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Thyroid Peroxidase Antibodies,Thyroid Peroxidase Antibodies,Thyroid Peroxidase Antibodies,international units per milliliter (IU/mL),less than 9 IU/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,High-Sensitivity CRP,High-sensitivity C-reactive protein (hs-CRP),hs-CRP,milligrams per liter (mg/dL),"Low risk: Less than 1.0 mg/L
Intermediate risk: 1.0 to 3.0 mg/L
High risk: Greater than 3.0 mg/L"
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Sedimentation Rate,Sedimentation Rate,Sedimentation Rate,International Units per hour (mm/hr),"Men under 50: 0-15 mm/hr
Women under 50: 0-20 mm/hr
Men over 50: 0-20 mm/hr
Women over 50: 0-30 mm/hr"
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Creatinine,Creatinine,Creatinine,milligrams per deciliter (mg/dL),"Men: 0.6 to 1.2 mg/dL
Women: 0.5 to 1.1 mg/dL"
Chemistry,Urine,Peripheral Blood Sample analysis - Plasma,"Creatinine, Serum",Creatinine,Creatinine,milligrams per deciliter (mg/dL),"Men: 0.6 to 1.2 mg/dL
Women: 0.5 to 1.1 mg/dL"
Blood_GAS,Blood,Peripheral Blood Sample analysis - Plasma,"Creatinine, Whole Blood",Creatinine,Creatinine,milligrams per deciliter (mg/dL),"Men: 0.6 to 1.2 mg/dL
Women: 0.5 to 1.1 mg/dL"
Chemistry,Urine,urine sample (24-hour) analysis,"Creatinine, Urine",Creatinine,Creatinine,milligrams for a 24-hour urine collection (mg/day),"Men: 800 to 2,000 mg/day
Women: 600 to 1,800 mg/day"
Chemistry,Urine,urine sample (24-hour) analysis,Urine Creatinine,Creatinine,Creatinine,milligrams for a 24-hour urine collection (mg/day),"Men: 800 to 2,000 mg/day
Women: 600 to 1,800 mg/day"
Chemistry,Blood,Peripheral Blood Sample analysis - Whole,Absolute Hemoglobin,Hemoglobin,Hemoglobin,grams per deciliter (g/dL),"Men: Approximately 13.8 to 17.2 g/dL of sample
Women: Approximately 12.1 to 15.1 g/dL of sample"
Blood_GAS,Blood,Peripheral Blood Sample analysis - Whole,Hemoglobin,Hemoglobin,Hemoglobin,grams per deciliter (g/dL),"Men: Approximately 13.8 to 17.2 g/dL of sample
Women: Approximately 12.1 to 15.1 g/dL of sample"
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Hemoglobin,Hemoglobin,Hemoglobin,grams per deciliter (g/dL),"Men: Approximately 13.8 to 17.2 g/dL of sample
Women: Approximately 12.1 to 15.1 g/dL of sample"
Hematology,Urine,Peripheral Blood Sample analysis - Whole,Hematocrit,Hematocrit,Hematocrit,percentage,"Men: Approximately 38.3% to 48.6% of sample
Women: Approximately 35.5% to 44.9% of sample"
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Cholesterol, HDL","Cholesterol, High-Density Lipoprotein (HDL) ","Cholesterol, HDL",milligrams per deciliter (mg/dL),"Men: greater than 40 mg/dL
Women: greater than 50 mg/dL  "
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Anisocytosis,Anisocytosis,Anisocytosis,Qualitative,minimal
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Digoxin,Digoxin,Digoxin,nanograms per milliliter (ng/mL),nanograms per milliliter (ng/mL)
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,CMV IgM Ab,Cytomegalovirus Immunoglobulin M Antibody (CMV IgM Ab),CMV IgM Ab,arbitrary units per milliliter (AU/mL),Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Anti-Parietal Cell Antibody,Anti-Parietal Cell Antibody (APCA),APCA,international units per milliliter (IU/mL),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,ARCH-1,Anti-Ribonucleoprotein Antibody (ARCH-1),ARCH-1,international units per milliliter (IU/mL),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,CMV IgG Ab,Cytomegalovirus Immunoglobulin G Antibody (CMV IgV Ab),CMV IgV Ab,international units per milliliter (IU/mL),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,CMV IgG Ab Value,Cytomegalovirus Immunoglobulin G Antibody (CMV IgV Ab),CMV IgV Ab,international units per milliliter (IU/mL),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Epstein-Barr Virus  EBNA IgG Ab,Epstein-Barr Virus (ENV) Epstein-Barr nuclear antigen (EBNA) Immunoglobulin G (IgG) Antibody (Ab),ENV EBNA IgG Ab,international units per milliliter (IU/mL),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Epstein-Barr Virus EBNA IgG Ab,Epstein-Barr Virus (ENV) Epstein-Barr nuclear antigen (EBNA) Immunoglobulin G (IgG) Antibody (Ab),ENV EBNA IgG Ab,international units per milliliter (IU/mL),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Epstein-Barr Virus IgG Ab Value,Epstein-Barr Virus (ENV) Immunoglobulin G (IgG) Antibody (Ab),ENV IgG Ab,international units per milliliter (IU/mL),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Epstein-Barr Virus IgM Ab Value,Epstein-Barr Virus (ENV) Immunoglobulin M (IgM) Antibody (Ab),ENV IgM Ab,international units per milliliter (IU/mL),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Epstein-Barr Virus VCA IgG Ab,Epstein-Barr Virus (ENV) Viral Capsid Antigen (VCA) Immunoglobulin G (IgG) Antibody (Ab),ENV VCA IgG Ab,international units per milliliter (IU/mL),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Epstein-Barr Virus VCA IgM Ab,Epstein-Barr Virus (ENV) Viral Capsid Antigen (VCA) Immunoglobulin M (IgM) Antibody (Ab),ENV VCA IgM Ab,international units per milliliter (IU/mL),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Reflex Confirmatory Hepatitis C Viral Load,Reflex Confirmatory Hepatitis C Viral Load,Reflex Confirmatory Hepatitis C Viral Load,log10 international units per milliliter ( log10 IU/mL),Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Barbiturate Screen,Barbiturates,Barbiturates,micrograms per liter (μg/L),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Benzodiazepine Screen,benzodiazepines,benzodiazepines,micrograms per liter (μg/L),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Toxoplasma IgG Ab,Toxoplasma Immunoglobulin G (IgG) Antibody (Ab),Toxoplasma IgG Ab,Negative/Positive,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Toxoplasma IgG Ab Value,Toxoplasma Immunoglobulin G (IgG) Antibody (Ab),Toxoplasma IgG Ab,Negative/Positive,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Toxoplasma IgM Ab,Toxoplasma Immunoglobulin M (IgM) Antibody (Ab),Toxoplasma IgM Ab,Negative/Positive,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Toxoplasma IgM Ab Value,Toxoplasma Immunoglobulin M (IgM) Antibody (Ab),Toxoplasma IgM Ab,Negative/Positive,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Toxoplasma Interpretation,Toxoplasma Interpretation,Toxoplasma Interpretation,Negative/Positive,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Tricyclic Antidepressant Screen,Tricyclic Antidepressant Screen,Tricyclic Antidepressant Screen,Negative/Positive,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Hepatitis A Virus IgM Antibody,Hepatitis A Virus (HAV) Immunoglobulin G (IgG) Antibody (Ab),HAV IgM Ab,positive/negative,negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Hepatitis B Core Antibody, IgM","Hepatitis B Core Antibody (Ab), Immunoglobulin M (IgM)","Hepatitis B Core Ab, IgM",positive/negative,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Hepatitis B Surface Antigen,Hepatitis B Surface Antigen,Hepatitis B Surface Antigen,positive/negative,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Hepatitis C Virus Antibody,Hepatitis C Virus (HCV) Antibody (Ab),HCV Ab,positive/negative,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,HIV 1 Ab Confirmation,HIV 1 Antibody (Ab) Confirmation,HIV 1 Ab Confirmation,positive/negative,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,HIV 2 Ab Confirmation,HIV 2 Antibody (Ab) Confirmation,HIV 2 Ab Confirmation,positive/negative,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,HIV Screen,HIV Screen,HIV Screen,positive/negative,negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Immunofixation,Immunofixation,Immunofixation,positive/negative,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Lyme C6 Ab,Lyme C6 Antibody (Ab),Lyme C6 Ab,positive/negative,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Whole,"Monospot, Rapid Antigen","Monospot, Rapid Antigen","Monospot, Rapid Antigen",positive/negative,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Reflex HIV Confirmation,Reflex HIV Confirmation,Reflex HIV Confirmation,positive/negative,Negative
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,HIT-Ab Interpreted Result,heparin-induced thrombocytopenia (HIT) Interpreted Result,HIT-Ab Interpreted,Qualitative,Negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Anti-Mitochondrial Antibody,Anti-Mitochondrial Antibodies (AMA),AMA,reciprocal dilutions,negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Anti-Neutrophil Cytoplasmic Antibody,Anti-Neutrophil Cytoplasmic Antibodies (ANCA),ANCA,reciprocal dilutions,negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Anti-Nuclear Antibody,Anti-Nuclear Antibodies (ANA),ANA,reciprocal dilutions,negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Anti-Nuclear Antibody, Titer",Anti-Nuclear Antibodies (ANA),ANA,reciprocal dilutions,negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Anti-Smooth Muscle Antibody,Anti-Smooth Muscle Antibody (ASMA),ASMA,reciprocal dilutions,negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,H. pylori IgG Ab,Helicobacter (H) pylori Immunoglobulin G (IgG) Antibody Ab,H. pylori IgG Ab Value,Units per milliliter (U/mL),negative
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,H. pylori IgG Ab Value,Helicobacter (H) pylori Immunoglobulin G (IgG) Antibody Ab,H. pylori IgG Ab Value,Units per milliliter (U/mL),negative
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Anticardiolipin Antibody IgG,Anticardiolipin Antibody IgG,Anticardiolipin Ab IgG,units per milliliter (U/mL),Negative or low levels
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Anticardiolipin Antibody IgM,Anticardiolipin Antibody IgM,Anticardiolipin Ab IgM,units per milliliter (U/mL),Negative or low levels
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Inhibitor Screen,Inhibitor Screen,Inhibitor Screen,Qualitative,"negative"" or ""none detected."
Hematology,Stool,Stool sample analysis - whole,"Blood, Occult","Blood, Occult","Blood, Occult",Qualitative,Negative
Hematology,Blood,Peripheral Blood Sample analysis - Hemoglobin,Fetal Hemoglobin,"Hemoglobin, Fetal","Hemoglobin, Fetal",percentage,"Newborns: Up to 80-90% of total hemoglobin.
Adults: Usually < 2% of total hemoglobin."
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Centromere,Centromere,Centromere,positive/negetive,no range
Hematology,Blood,Bone Marrow Sample analysis - Whole,Collagen,Collagen,Collagen,percentage,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - Whole,Iron Stain,iron stores,iron stores,percentage,no range
Hematology,Urine,urine sample (random) Substances Measurement,Sulfonamides,Sulfonamides,Sulfonamides,Absent/presence,no range
Chemistry,Cerebrospinal Fluid,Cerebrospinal Sample analysis - Whole,HIV 1 Viral Load,HIV 1 Viral Load,HIV 1 Viral Load,copies of genetic material  per milliliter (log10 copies/mL),no range
Chemistry,Stool,Stool sample analysis - whole,"Albumin, Stool",Albumin,Albumin,grams per deciliter (g/dL),no range
Chemistry,Ascites,Ascite Sample analysis - Whole,"Lactate Dehydrogenase, Ascites",Lactate Dehydrogenase,LD,International Units per liter (IU/L),no range
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Cytomegalovirus Viral Load,Cytomegalovirus (CMV) Viral Load,CMV Viral Load,log10 international units per milliliter ( log10 IU/mL),no range
Chemistry,Stool,Stool sample analysis - whole,"Bicarbonate, Stool",Bicarbonate,Bicarbonate,milliequivalents per liter (mEq/L),no range
Chemistry,Stool,Stool sample analysis - whole,"Chloride, Stool",Chloride,Chloride,milliequivalents per liter (mEq/L),no range
Chemistry,Stool,Stool sample analysis - whole,"Potassium, Stool",Potassium,Potassium,milliequivalents per liter (mEq/L),no range
Chemistry,Stool,Stool sample analysis - whole,"Sodium, Stool",Sodium,Sodium,milliequivalents per liter (mEq/L),no range
Chemistry,Ascites,Ascite Sample analysis - Whole,"Bilirubin, Total, Ascites","Bilirubin, Total","Bilirubin, Total",milligrams per deciliter (mg/dL),no range
Chemistry,Ascites,Ascite Sample analysis - Whole,"Cholesterol, Ascites",Cholesterol,Cholesterol,milligrams per deciliter (mg/dL),no range
Chemistry,Stool,Stool sample analysis - whole,"Osmolality, Stool",Osmolality,Osmolality,milliosmoles per kilogram (mOsm/kg),no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Glyco A,Glycophorin A,Glyco A,percentage,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,Glyco A,Glycophorin A,Glyco A,percentage,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,HLA-DR,Human Leukocyte Antigen-DR,HLA-DR,percentage,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,HLA-DR,Human Leukocyte Antigen-DR,HLA-DR,percentage,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,TCR Alpha-Beta,T-cell receptor Alpha-Beta,TCR Alpha-Beta,percentage,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,TCR Alpha-Beta,T-cell receptor Alpha-Beta,TCR Alpha-Beta,percentage,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,TCR Gamma-Delta,T-cell receptor Gamma-Delta,TCR Gamma-Delta,percentage,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,TCR Gamma-Delta,T-cell receptor Gamma-Delta,TCR Gamma-Delta,percentage,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,CD 1a,cluster of differentiation (CD) 1a,CD1a,Qualitative,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,CD 1a,cluster of differentiation (CD) 1a,CD1a,Qualitative,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,CD10,cluster of differentiation (CD) 10,CD10,Qualitative,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,CD10,cluster of differentiation (CD) 10,CD10,Qualitative,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,CD103,cluster of differentiation (CD) 103,CD103,Qualitative,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,CD103,cluster of differentiation (CD) 103,CD103,Qualitative,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,CD117,cluster of differentiation (CD) 117,CD117,Qualitative,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,CD117,cluster of differentiation (CD) 117,CD117,Qualitative,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,CD11c,cluster of differentiation (CD) 11c,CD11c,Qualitative,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,CD11c,cluster of differentiation (CD) 11c,CD11c,Qualitative,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,CD13,cluster of differentiation (CD) 13,CD13,Qualitative,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,CD13,cluster of differentiation (CD) 13,CD13,Qualitative,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,CD138,cluster of differentiation (CD) 138,CD138,Qualitative,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,CD138,cluster of differentiation (CD) 138,CD138,Qualitative,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,CD14,cluster of differentiation (CD) 14,CD14,Qualitative,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,CD14,cluster of differentiation (CD) 14,CD14,Qualitative,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,CD15,cluster of differentiation (CD) 15,CD15,Qualitative,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,CD15,cluster of differentiation (CD) 15,CD15,Qualitative,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,CD15/56,cluster of differentiation (CD) 15/56,CD15/56,Qualitative,no range
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,CD16,cluster of differentiation (CD) 16,CD16,Qualitative,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,CD16,cluster of differentiation (CD) 16,CD16,Qualitative,no range
Hematology,Bone Marrow,Bone Marrow Sample analysis - White Blood Cells,CD16/56,cluster of differentiation (CD) 16/56,CD16/56,Qualitative,no range
